,TimeIn,TimeOut,Symbol,Profit,Hysteresis_in,Hysteresis_out,ReasonNumber,duration,TimeIn_Date,TimeOut_Date
0,2012-04-02 00:00:00,2012-04-02 19:00:00,EURJPY,-12.09,535.622,402.312,0,19.0,2012-04-02,2012-04-02
22,2012-04-02 19:00:00,2012-04-10 05:00:00,EURJPY,19.5,402.312,183.312,0,178.0,2012-04-02,2012-04-10
25,2012-04-10 05:00:00,2012-04-10 10:00:00,EURJPY,-11.42,183.312,226.000,0,5.0,2012-04-10,2012-04-10
35,2012-04-10 10:00:00,2012-04-12 09:14:56,EURJPY,-3.41,226.000,86.389,0,47.24888888888889,2012-04-10,2012-04-12
39,2012-04-12 09:14:56,2012-04-13 20:00:00,EURJPY,-6.27,86.389,284.668,0,34.75111111111111,2012-04-12,2012-04-13
48,2012-04-13 20:00:00,2012-04-17 17:00:00,EURJPY,-2.16,284.668,165.167,0,93.0,2012-04-13,2012-04-17
61,2012-04-17 17:00:00,2012-04-23 12:00:00,EURJPY,3.93,165.167,350.356,0,139.0,2012-04-17,2012-04-23
67,2012-04-23 12:00:00,2012-04-24 23:00:00,EURJPY,-7.19,350.356,133.840,0,35.0,2012-04-23,2012-04-24
73,2012-04-24 23:00:00,2012-04-26 16:00:00,EURJPY,-5.06,133.840,252.980,0,41.0,2012-04-24,2012-04-26
89,2012-04-26 16:00:00,2012-05-02 06:19:35,EURJPY,5.76,252.980,23.587,0,134.32638888888889,2012-04-26,2012-05-02
91,2012-05-02 06:19:35,2012-05-02 13:00:00,EURJPY,-6.82,23.587,126.791,0,6.673611111111111,2012-05-02,2012-05-02
122,2012-05-02 13:00:00,2012-05-21 13:00:00,EURJPY,41.38,126.791,42.912,0,456.0,2012-05-02,2012-05-21
135,2012-05-21 13:00:00,2012-05-23 06:00:00,EURJPY,-4.74,42.912,251.670,0,41.0,2012-05-21,2012-05-23
143,2012-05-23 06:00:00,2012-05-28 07:00:00,EURJPY,7.9,251.670,104.974,0,121.0,2012-05-23,2012-05-28
146,2012-05-28 07:00:00,2012-05-28 16:00:00,EURJPY,-3.95,104.974,90.659,0,9.0,2012-05-28,2012-05-28
161,2012-05-28 16:00:00,2012-06-04 16:00:00,EURJPY,19.96,90.659,167.259,0,168.0,2012-05-28,2012-06-04
176,2012-06-04 16:00:00,2012-06-08 13:00:00,EURJPY,10.97,167.259,385.960,0,93.0,2012-06-04,2012-06-08
183,2012-06-08 13:00:00,2012-06-11 02:00:00,EURJPY,-18.8,385.960,335.435,0,61.0,2012-06-08,2012-06-11
188,2012-06-11 02:00:00,2012-06-11 19:00:00,EURJPY,-13.48,335.435,262.024,0,17.0,2012-06-11,2012-06-11
201,2012-06-11 19:00:00,2012-06-13 13:00:00,EURJPY,-5.86,262.024,140.822,0,42.0,2012-06-11,2012-06-13
212,2012-06-13 13:00:00,2012-06-15 13:00:00,EURJPY,-5.39,140.822,219.321,0,48.0,2012-06-13,2012-06-15
216,2012-06-15 13:00:00,2012-06-18 03:00:00,EURJPY,-14.03,219.321,322.574,0,62.0,2012-06-15,2012-06-18
217,2012-06-18 03:00:00,2012-06-18 18:00:00,EURJPY,-14.88,322.574,347.910,0,15.0,2012-06-18,2012-06-18
222,2012-06-18 18:00:00,2012-06-19 19:21:31,EURJPY,-11.5,347.910,259.785,0,25.35861111111111,2012-06-18,2012-06-19
231,2012-06-19 19:21:32,2012-06-25 07:00:00,EURJPY,1.48,259.657,152.908,0,131.64111111111112,2012-06-19,2012-06-25
